# Project C: The Clouds — Resources Database
# Generated by Tools → ProjectC → Resources → CSV Import/Export
# This file is the source of truth. .asset files are GENERATED from it.

# block=inventory
itemName,itemType,description,maxStack,weightKg
resource_steel_ruler_500mm_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_sulfuric_acid_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_surgical_silk_suture_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_teak_beam_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_antigrav_ag_2_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_cardboard_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_graphite_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_paraffin_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_pressure_gauge_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_rubber_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_silver_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_tin_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_technical_tweezers_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_tin_bronze_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_underwear_knit_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_universal_solvent_ru_5_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
resource_vegetable_oil_box,PRIMIUM_FARM_0_0,10,50,0.02,None,y,y
antigrav_ingot_v01,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
mesium_canister_v01,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_acoustic_felt_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_activated_charcoal_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_anti_corrosion_enamel_paint_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_antigrav_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_antigrav_brass_agl_8_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_antigrav_bronze_agb_12_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_antigrav_chips_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_antigrav_steel_ags_40_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_asbestos_sheet_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_aviation_plywood_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_balaclava_mask_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_beeswax_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_black_leaf_tea_primium_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_book_poetry_above_the_clouds_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_borosilicate_glass_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_brass_sheet_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_buckwheat_porridge_with_butter_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_butter_pancakes_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_cafeteria_menu_buffet_no5_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_canvas_apron_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_canvas_tape_measure_20m_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_canvas_tarpaulin_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_cast_iron_bollard_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_cast_iron_frying_pan_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_cast_iron_iron_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_cast_iron_pot_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_cast_iron_weight_set_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_caustic_alkali_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_colored_glass_plumb_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_copper_wire_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_corrugated_cardboard_box_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_cover_tarp_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_dry_white_table_wine_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_duralumin_aluminum_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_engineers_square_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_farm_timber_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_filter_grade_silk_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_fireproof_ceramics_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_galvanized_sheet_steel_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_glass_vial_50ml_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_gmag_7_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_gmag_9_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_gmag_grease_s_4_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_granulated_sugar_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_gray_cast_iron_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_guild_cloth_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_imported_olive_oil_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_industrial_mag_5_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_lightweight_canvas_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mag_graphite_brushes_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mag_technical_passport_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_fuel_m_100_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_mag_concentrate_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_neutralizer_n_7_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_oil_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_resistant_sealant_hm_200_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_skin_neutralizer_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mountain_wool_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_multilayer_felt_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_oak_veneer_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_plumb_glass_writer_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_portable_mag_1_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_poster_caution_mezium_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_pressed_cork_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_primium_forged_steel_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_purified_antigrav_ag_1_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_raw_antigrav_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_raw_mezium_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_red_table_wine_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_refined_mezium_fuel_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_rigging_impregnation_pt_1_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_rod_antigrav_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_round_porthole_glass_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_salted_butter_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_seam_sealant_nm_300_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_sheet_antigrav_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_shellac_varnish_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_skol_10_silver_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_skol_25_gold_silver_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_skol_5_bronze_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_soapstone_talc_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_stabilized_mezium_m_1_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_standard_mag_3_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_cable_6mm_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_canister_20l_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_climbing_carabiner_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_frame_rib_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_heels_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_helmet_with_clips_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_rivets_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_steel_ruler_500mm_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_sulfuric_acid_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_surgical_silk_suture_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_teak_beam_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_antigrav_ag_2_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_cardboard_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_graphite_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_paraffin_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_pressure_gauge_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_rubber_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_silver_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_tin_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_technical_tweezers_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_tin_bronze_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_underwear_knit_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_universal_solvent_ru_5_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_vegetable_oil_box,PRIMIUM_FARM_1_1,10,50,0.02,None,y,y
resource_mezium_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_antigrav_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_raw_antigrav_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_purified_antigrav_ag_1_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_antigrav_ag_2_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_sheet_antigrav_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_rod_antigrav_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_antigrav_steel_ags_40_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_antigrav_bronze_agb_12_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_antigrav_brass_agl_8_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_antigrav_chips_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_raw_mezium_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_stabilized_mezium_m_1_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mezium_oil_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_refined_mezium_fuel_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mezium_mag_concentrate_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mezium_neutralizer_n_7_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_primium_forged_steel_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_galvanized_sheet_steel_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_gray_cast_iron_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_copper_wire_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_brass_sheet_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_tin_bronze_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_duralumin_aluminum_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_tin_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_silver_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_canvas_tarpaulin_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mountain_wool_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_multilayer_felt_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_filter_grade_silk_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_lightweight_canvas_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_underwear_knit_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_guild_cloth_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_farm_timber_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_teak_beam_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_aviation_plywood_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_oak_veneer_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_cardboard_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_sulfuric_acid_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_caustic_alkali_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_universal_solvent_ru_5_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mezium_resistant_sealant_hm_200_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_gmag_grease_s_4_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_rigging_impregnation_pt_1_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_anti_corrosion_enamel_paint_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_shellac_varnish_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_borosilicate_glass_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_fireproof_ceramics_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_graphite_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_rubber_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_pressed_cork_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_beeswax_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_helmet_with_clips_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_heels_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_plumb_glass_writer_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_ruler_500mm_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_engineers_square_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_canvas_tape_measure_20m_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_pressure_gauge_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_rivets_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_tweezers_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_cast_iron_weight_set_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_buckwheat_porridge_with_butter_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_salted_butter_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_black_leaf_tea_primium_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_red_table_wine_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_dry_white_table_wine_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_granulated_sugar_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_vegetable_oil_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_imported_olive_oil_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_portable_mag_1_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_standard_mag_3_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_industrial_mag_5_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_gmag_7_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_gmag_9_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mag_graphite_brushes_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_surgical_silk_suture_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mezium_skin_neutralizer_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_activated_charcoal_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_frame_rib_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_seam_sealant_nm_300_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_cable_6mm_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_climbing_carabiner_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_cast_iron_bollard_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_round_porthole_glass_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mag_technical_passport_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_cast_iron_iron_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_cast_iron_pot_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_cast_iron_frying_pan_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_steel_canister_20l_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_glass_vial_50ml_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_corrugated_cardboard_box_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_skol_5_bronze_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_skol_10_silver_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_skol_25_gold_silver_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_book_poetry_above_the_clouds_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_poster_caution_mezium_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_canvas_apron_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_technical_paraffin_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_soapstone_talc_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_asbestos_sheet_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_acoustic_felt_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_balaclava_mask_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_butter_pancakes_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_cafeteria_menu_buffet_no5_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_colored_glass_plumb_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_mezium_fuel_m_100_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
resource_cover_tarp_box,PRIMIUM_TEST_ZONE,120,50,0.02,None,y,y
antigrav_ingot_v01,ROAD TO QUARTUS,10,50,0.02,None,y,y
mesium_canister_v01,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_acoustic_felt_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_activated_charcoal_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_anti_corrosion_enamel_paint_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_antigrav_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_antigrav_brass_agl_8_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_antigrav_bronze_agb_12_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_antigrav_chips_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_antigrav_steel_ags_40_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_asbestos_sheet_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_aviation_plywood_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_balaclava_mask_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_beeswax_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_black_leaf_tea_primium_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_book_poetry_above_the_clouds_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_borosilicate_glass_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_brass_sheet_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_buckwheat_porridge_with_butter_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_butter_pancakes_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_cafeteria_menu_buffet_no5_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_canvas_apron_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_canvas_tape_measure_20m_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_canvas_tarpaulin_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_cast_iron_bollard_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_cast_iron_frying_pan_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_cast_iron_iron_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_cast_iron_pot_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_cast_iron_weight_set_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_caustic_alkali_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_colored_glass_plumb_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_copper_wire_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_corrugated_cardboard_box_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_cover_tarp_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_dry_white_table_wine_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_duralumin_aluminum_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_engineers_square_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_farm_timber_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_filter_grade_silk_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_fireproof_ceramics_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_galvanized_sheet_steel_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_glass_vial_50ml_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_gmag_7_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_gmag_9_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_gmag_grease_s_4_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_granulated_sugar_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_gray_cast_iron_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_guild_cloth_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_imported_olive_oil_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_industrial_mag_5_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_lightweight_canvas_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mag_graphite_brushes_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mag_technical_passport_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mezium_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mezium_fuel_m_100_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mezium_mag_concentrate_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mezium_neutralizer_n_7_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mezium_oil_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mezium_resistant_sealant_hm_200_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mezium_skin_neutralizer_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_mountain_wool_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_multilayer_felt_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_oak_veneer_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_plumb_glass_writer_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_portable_mag_1_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_poster_caution_mezium_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_pressed_cork_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_primium_forged_steel_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_purified_antigrav_ag_1_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_raw_antigrav_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_raw_mezium_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_red_table_wine_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_refined_mezium_fuel_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_rigging_impregnation_pt_1_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_rod_antigrav_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_round_porthole_glass_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_salted_butter_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_seam_sealant_nm_300_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_sheet_antigrav_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_shellac_varnish_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
resource_skol_10_silver_box,ROAD TO QUARTUS,10,50,0.02,None,y,y
